"Estación de Peaje","Año","Mes","Código Estación","Departamento","TRAFICO EFECTIVO I","TRAFICO EFECTIVO IE","TRAFICO EFECTIVO  IEA","TRAFICO EFECTIVO  IEB","TRAFICO EFECTIVO IEE","TRAFICO EFECTIVO  IEQ","TRAFICO EFECTIVO II","TRAFICO EFECTIVO IIA","TRAFICO EFECTIVO IIE","TRAFICO EFECTIVO IIEE","TRAFICO EFECTIVO IIEQ","TRAFICO EFECTIVO IIE REV","TRAFICO EFECTIVO III","TRAFICO EFECTIVO IIIE","TRAFICO EFECTIVO  IIIP","TRAFICO EFECTIVO  IIIG","TRAFICO EFECTIVO IV","TRAFICO EFECTIVO VI","TRAFICO EFECTIVO VII","TRAFICO EFECTIVO  IEB 2","TRAFICO EFECTIVO  IVE","TRAFICO EFECTIVO V","TRAFICO EFECTIVO V (B)","TRAFICO EFECTIVO  V (B-A)","TRAFICO EFECTIVO  V E","Tráfico Total","VEHÍCULOS IPREV I","VEHÍCULOS IPREV IE","VEHÍCULOS IPREV IEA","VEHÍCULOS IPREV IEB","VEHÍCULOS IPREV IEQ","VEHÍCULOS IPREV II","VEHÍCULOS IPREV IIE","VEHÍCULOS IPREV IIEE","VEHÍCULOS IPREV IIEQ","VEHÍCULOS IPREV III","VEHÍCULOS IPREV IIIE","VEHÍCULOS IPREV IIIP","VEHÍCULOS IPREV IIIG","VEHÍCULOS IPREV IV","VEHÍCULOS IPREV IVE","VEHÍCULOS IPREV V","VEHÍCULOS IPREV VB","VEHÍCULOS IPREV VE","VEHÍCULOS IPREV VI","VEHÍCULOS IPREV VII","TOTAL VEH IPREV","EJES IPREV Ejes Grua","EJES IPREV Ejes Remolque","EJES IPREV Ejes Adicionales","EJES IPREV Ejes Cañeros","TOTAL EJES","EJES EFECTIVO Ejes Grua","EJES EFECTIVO Ejes Remolque","EJES EFECTIVO Ejes Adicionales","EJES EFECTIVO Ejes Cañeros","TOTAL EJES 2","TIQUETES PREPAGO I","TIQUETES PREPAGO IE","TIQUETES PREPAGO IEA","TIQUETES PREPAGO IEB","TIQUETES PREPAGO IEQ","TIQUETES PREPAGO II","TIQUETES PREPAGO III","TIQUETES PREPAGO IIE","TIQUETES PREPAGO IIEE","TIQUETES PREPAGO IIEQ","TIQUETES PREPAGO III 2","TIQUETES PREPAGO IIIE","TIQUETES PREPAGO IIIP","TIQUETES PREPAGO IIIG","TIQUETES PREPAGO IV","TIQUETES PREPAGO IVE","TIQUETES PREPAGO V","TIQUETES PREPAGO VB","TIQUETES PREPAGO VE","TIQUETES PREPAGO VI","TIQUETES PREPAGO VII","Total Prepagos","EVASORES UNIDAD I","EVASORES UNIDAD IE","EVASORES UNIDAD IEA","EVASORES UNIDAD IEB","EVASORES UNIDAD IEQ","EVASORES UNIDAD II","EVASORES UNIDAD IIE","EVASORES UNIDAD IIEE","EVASORES UNIDAD IIEQ","EVASORES UNIDAD III","EVASORES UNIDAD IIIE","EVASORES UNIDAD IIIG","EVASORES UNIDAD IIIP","EVASORES UNIDAD IV","EVASORES UNIDAD IVE","EVASORES UNIDAD V","EVASORES UNIDAD VI","EVASORES UNIDAD VII","EVASORES UNIDAD VB","EVASORES UNIDAD VE","Total Evasores","VEH RES 3694 DE 2007 IE","VEH RES 3694 DE 2007 IIE","VEH RES 3694 DE 2007 Total","TOTAL VEH (EFECTIVO+PREPAGOS+EVASION+REV+VEH RES3694)","EXENTOS RES0000015 (Koran)","EXENTOS  -  LEY 787 2002 I","EXENTOS  -  LEY 787 2002 II","EXENTOS  -  LEY 787 2002 III","EXENTOS  -  LEY 787 2002 IIIP","EXENTOS  -  LEY 787 2002 IIIG","EXENTOS  -  LEY 787 2002 IV","EXENTOS  -  LEY 787 2002 V","EXENTOS  -  LEY 787 2002 VB","EXENTOS  -  LEY 787 2002 VI","EXENTOS  -  LEY 787 2002 VII","EXENTOS  -  LEY 787 2002 Total Exentos","EA","EG","ER","TOTAL VEH (EFECTIVO+PREPAGOS+EVASION+REV+VEH RES 3694+EXENTOS)","EXENTOS RES0000015 (Koran) 2","EXENTOS EMERGENCIA VIAL CAT I","EXENTOS EMERGENCIA VIAL CAT II","EXENTOS EMERGENCIA VIAL TOTAL","EXONERADOS INVIAS I","EXONERADOS INVIAS II","EXONERADOS INVIAS III","EXONERADOS INVIAS IV","EXONERADOS INVIAS V","EXONERADOS INVIAS VI","EXONERADOS INVIAS VII","EXONERADOS INVIAS IIIP","EXONERADOS INVIAS IIIG","TOTAL EXONERADOS INVIAS"
"BAYUNCA","2008","Agosto","#N/D","BOLIVAR","0","0",,,,,"0",,"0",,,,"0","0",,,"0",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BICENTENARIO","2008","Agosto","00006","CUNDINAMARCA","51,958","1,385",,,,,"45,063",,"243",,,,"8,580","0",,,"14,964",,,,,"19,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAIQUERO","2008","Agosto","#N/D","CUNDINAMARCA","0","0",,,,,"0",,"0",,,,"0","0",,,"0",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAJAMARCA","2008","Agosto","00007","TOLIMA","42,216","0",,,,,"47,843",,"0",,,,"11,477","0",,,"6,867",,,,,"20,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALAMAR","2008","Agosto","00008","BOLIVAR","21,157","274",,,,,"20,349",,"0",,,,"2,122","0",,,"2,007",,,,,"4,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CARIMAGUA","2008","Agosto","00009","CORDOBA","18,719","0",,,,,"17,475",,"0",,,,"4,858","0",,,"3,762",,,,,"10,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CISNEROS","2008","Agosto","00011","ANTIOQUIA","16,324","1,435",,,,,"11,842",,"442",,,,"1,440","0",,,"1,252",,,,,"1,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CRUCERO","2008","Agosto","00012","BOYACA","15,375","9,253",,,,,"9,964",,"3,837",,,,"970","0",,,"400",,,,,"1,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL BORDO","2008","Agosto","00013","CAUCA","23,370","0",,,,,"22,150",,"0",,,,"2,715","0",,,"1,810",,,,,"3,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL CARMEN","2008","Agosto","00044","BOLIVAR","27,021","2,093",,,,,"25,338",,"476",,,,"2,679","0",,,"2,541",,,,,"6,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL DIFICIL","2008","Agosto","#N/D","MAGADALENA","15,718","3,540",,,,,"11,740",,"0",,,,"4,104","0",,,"2,974",,,,,"10,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GALAPA","2008","Agosto","#N/D","ATLANTICO","52,414","0",,,,,"61,734",,"0",,,,"3,954","0",,,"4,178",,,,,"4,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GAMBOTE","2008","Agosto","#N/D","BOLIVAR","0","0",,,,,"0",,"0",,,,"0","0",,,"0",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HONDA","2008","Agosto","00014","TOLIMA","46,756","5,867",,,,,"28,200",,"0",,,,"2,567","0",,,"3,780",,,,,"9,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA APARTADA","2008","Agosto","00015","CORDOBA","48,150","0",,,,,"29,490",,"0",,,,"5,552","0",,,"4,289",,,,,"11,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA CABAÑA","2008","Agosto","00016","CUNDINAMARCA","28,452","0",,,,,"6,039",,"0",,,,"248","0",,,"108",,,,,"485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA ESPERANZA","2008","Agosto","00017","SUCRE","39,989","3,692",,,,,"18,753",,"0",,,,"3,136","0",,,"2,374",,,,,"5,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA GOMEZ","2008","Agosto","00046","SANTANDER","17,510","0",,,,,"17,958",,"0",,,,"5,857","0",,,"5,588",,,,,"18,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA LOMA","2008","Agosto","#N/D","CESAR","30,677","0",,,,,"28,772",,"0",,,,"7,778","0",,,"9,937",,,,,"53,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS ACACIOS","2008","Agosto","#N/D","ANTIOQUIA","5,735","0",,,,,"3,424",,"0",,,,"499","0",,,"108",,,,,"289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOBOGUERRERO","2008","Agosto","00065","VALLE DEL CAUCA","50,252","520",,,,,"18,996",,"32",,,,"8,364","0",,,"7,765",,,,,"16,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS ACACIOS","2008","Agosto","#N/D","NORTE DE SANTANDER","0","123,705",,,,,"37,372",,"0",,,,"2,745","0",,,"2,543",,,,,"6,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS CAUCHOS","2008","Agosto","00019","HUILA","67,282","10,520",,,,,"31,848",,"0",,,,"2,754","0",,,"1,617",,,,,"2,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS CEDROS","2008","Agosto","#N/D","CORDOBA","24,687","0",,,,,"12,669",,"0",,,,"724","0",,,"216",,,,,"221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS LLANOS","2008","Agosto","00020","ANTIOQUIA","28,753","1,129",,,,,"28,235",,"1,760",,,,"5,495","0",,,"4,017",,,,,"10,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS PATIOS","2008","Agosto","#N/D","CUNDINAMARCA","65,046","44,181",,,,,"8,887",,"0",,,,"362","0",,,"464",,,,,"1,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MACHETA","2008","Agosto","00021","CUNDINAMARCA","21,767","44",,,,,"10,703",,"25",,,,"1,162","0",,,"1,214",,,,,"207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MATA DE CAÑA","2008","Agosto","00022","CORDOBA","38,286","0",,,,,"19,775",,"0",,,,"1,325","0",,,"595",,,,,"532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MORRISON","2008","Agosto","00047","CESAR","40,299","0",,,,,"35,023",,"0",,,,"7,744","0",,,"7,464",,,,,"29,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PICACHO","2008","Agosto","00024","SANTANDER","34,804","0",,,,,"20,906",,"0",,,,"2,243","0",,,"2,495",,,,,"5,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PONEDERA","2008","Agosto","#N/D","ATLANTICO","0","0",,,,,"0",,"0",,,,"0","0",,,"0",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRIMAVERA","2008","Agosto","00025","ANTIOQUIA","58,642","0",,,,,"39,840",,"0",,,,"5,257","0",,,"4,394",,,,,"7,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PUENTE PLATO","2008","Agosto","#N/D","MAGADALENA","11,502","2,731",,,,,"11,048",,"0",,,,"4,005","0",,,"2,974",,,,,"10,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PUERTO BERRIO","2008","Agosto","00026","ANTIOQUIA","13,528","1,594",,,,,"10,715",,"189",,,,"1,575","0",,,"1,238",,,,,"1,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PURGATORIO","2008","Agosto","#N/D","CORDOBA","46,646","0",,,,,"19,770",,"0",,,,"1,139","0",,,"362",,,,,"1,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO BLANCO","2008","Agosto","00027","SANTANDER","33,559","0",,,,,"22,646",,"0",,,,"2,670","0",,,"1,853",,,,,"11,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO FRIO","2008","Agosto","00028","VALLE DEL CAUCA","20,320","0",,,,,"7,748",,"0",,,,"823","0",,,"1,635",,,,,"1,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO SOGAMOSO","2008","Agosto","00029","SANTANDER","61,691","313",,,,,"32,107",,"100",,,,"3,827","0",,,"2,382",,,,,"5,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SACHICA","2008","Agosto","00030","BOYACA","52,999","0",,,,,"10,652",,"0",,,,"313","0",,,"228",,,,,"618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN JUAN","2008","Agosto","00032","LA GUAJIRA","15,282","74,712",,,,,"9,334",,"0",,,,"544","0",,,"670",,,,,"1,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN ONOFRE","2008","Agosto","00033","SUCRE","19,379","0",,,,,"12,034",,"0",,,,"3,740","0",,,"2,758",,,,,"6,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN PEDRO","2008","Agosto","00034","CASANARE","27,140","2,411",,,,,"10,092",,"0",,,,"1,191","0",,,"2,510",,,,,"2,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SANCLEMENTE","2008","Agosto","#N/D","RISARALDA","11,243","0",,,,,"8,984",,"0",,,,"544","0",,,"389",,,,,"623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUPIA","2008","Agosto","00035","CALDAS","40,107","0",,,,,"32,451",,"0",,,,"4,470","0",,,"4,259",,,,,"7,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARAZA","2008","Agosto","00036","ANTIOQUIA","27,260","2,333",,,,,"22,659",,"0",,,,"5,009","0",,,"3,860",,,,,"10,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TORO","2008","Agosto","00037","VALLE DEL CAUCA","10,534","2,619",,,,,"4,577",,"0",,,,"274","0",,,"256",,,,,"375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VALENCIA","2008","Agosto","#N/D","CESAR","40,700","0",,,,,"22,766",,"0",,,,"1,249","0",,,"638",,,,,"2,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZAMBITO","2008","Agosto","00044","SANTANDER","21,806","0",,,,,"23,135",,"0",,,,"6,455","0",,,"6,160",,,,,"18,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ACAPULCO","2008","Septiembre","00001","CALDAS","38,445","0",,,,,"15,932",,"0",,,,"862","0",,,"370",,,,,"642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGUAS NEGRAS","2008","Septiembre","00045","SANTANDER","20,371","0",,,,,"28,897",,"0",,,,"7,855","0",,,"7,687",,,,,"21,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALTAMIRA","2008","Septiembre","00002","HUILA","29,006","8,122",,,,,"21,428",,"0",,,,"2,370","0",,,"797",,,,,"1,635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALVARADO","2008","Septiembre","00003","TOLIMA","53,757","3,595",,,,,"25,164",,"0",,,,"2,363","0",,,"2,651",,,,,"8,527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMAGA","2008","Septiembre","00004","ANTIOQUIA","65,215","0",,,,,"34,115",,"6,365",,,,"3,583","1,854",,,"378",,,,,"1,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARCABUCO","2008","Septiembre","00005","BOYACA","29,541","0",,,,,"18,737",,"0",,,,"1,171","0",,,"700",,,,,"7,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAYUNCA","2008","Septiembre","#N/D","BOLIVAR","0","0",,,,,"0",,"0",,,,"0","0",,,"0",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BICENTENARIO","2008","Septiembre","00006","CUNDINAMARCA","37,600","1,338",,,,,"46,357",,"271",,,,"9,767","0",,,"15,393",,,,,"21,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAIQUERO","2008","Septiembre","#N/D","CUNDINAMARCA","0","0",,,,,"0",,"0",,,,"0","0",,,"0",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAJAMARCA","2008","Septiembre","00007","TOLIMA","29,318","0",,,,,"48,561",,"0",,,,"14,030","0",,,"7,657",,,,,"26,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALAMAR","2008","Septiembre","00008","BOLIVAR","18,807","234",,,,,"21,262",,"0",,,,"2,221","0",,,"1,997",,,,,"5,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CARIMAGUA","2008","Septiembre","00009","CORDOBA","15,994","0",,,,,"17,590",,"0",,,,"5,620","0",,,"4,190",,,,,"11,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CISNEROS","2008","Septiembre","00011","ANTIOQUIA","13,260","1,326",,,,,"11,903",,"428",,,,"1,335","0",,,"1,294",,,,,"2,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CRUCERO","2008","Septiembre","00012","BOYACA","12,773","9,095",,,,,"11,025",,"4,459",,,,"722","0",,,"90",,,,,"310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL BORDO","2008","Septiembre","00013","CAUCA","18,363","0",,,,,"23,092",,"0",,,,"3,586","0",,,"2,500",,,,,"5,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
