Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1230078,-,-,-,5.01,-74.46,-5,930,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Asymmetry,Alpha,Clearsky DHI,Aerosol Optical Depth,Clearsky DNI,Cloud Type,DNI,Cloud Fill Flag,DHI,Clearsky GHI,Dew Point,Fill Flag,GHI,Ozone,SSA,Solar Zenith Angle,Relative Humidity,Surface Albedo,Pressure,Precipitable Water,Global Horizontal UV Irradiance (280-400nm),Wind Speed,Wind Direction,Global Horizontal UV Irradiance (295-385nm)
2019,1,1,0,30,21.8,0.63,1.42,0,0.076,0,0,0,0,0,0,15.700000000000001,0,0,0.243,0.93,160.70000000000002,68.26,0.15,935,3.4000000000000004,0.0000,1.8,111,0.0000
2019,1,1,1,30,21.3,0.63,1.43,0,0.073,0,0,0,0,0,0,15.200000000000001,0,0,0.244,0.93,152.01,68.3,0.15,934,3.4000000000000004,0.0000,1.8,112,0.0000
2019,1,1,2,30,20.900000000000002,0.63,1.43,0,0.07200000000000001,0,0,0,0,0,0,14.8,0,0,0.244,0.93,139.86,68.28,0.15,934,3.3000000000000003,0.0000,1.9000000000000001,112,0.0000
2019,1,1,3,30,20.6,0.63,1.41,0,0.07100000000000001,0,0,0,0,0,0,14.600000000000001,0,0,0.245,0.93,126.59,68.29,0.15,934,3.3000000000000003,0.0000,1.9000000000000001,113,0.0000
2019,1,1,4,30,20.3,0.63,1.3900000000000001,0,0.073,0,0,0,0,0,0,14.3,0,0,0.245,0.93,112.92,68.64,0.15,935,3.3000000000000003,0.0000,1.9000000000000001,114,0.0000
2019,1,1,5,30,20.700000000000003,0.63,1.37,0,0.075,0,0,0,0,0,0,14.100000000000001,0,0,0.244,0.93,99.13,66.08,0.15,935,3.3000000000000003,0.0000,2,116,0.0000
2019,1,1,6,30,22.8,0.63,1.35,30,0.076,288,0,288,0,30,54,14.8,0,54,0.244,0.93,85.23,60.77,0.15,936,3.3000000000000003,0.0000,2.6,116,0.0000
2019,1,1,7,30,26,0.63,1.34,64,0.073,681,0,681,0,64,277,14.5,0,277,0.245,0.92,71.77,49.15,0.15,937,3.3000000000000003,13.9532,3.2,116,10.7795
2019,1,1,8,30,28.700000000000003,0.63,1.35,80,0.069,835,0,835,0,80,515,14.200000000000001,0,515,0.245,0.92,58.64,41.050000000000004,0.15,937,3.3000000000000003,28.6127,3.3000000000000003,118,22.3637
2019,1,1,9,30,30.8,0.63,1.35,89,0.067,913,0,913,0,89,719,14,0,719,0.245,0.91,46.34,36.09,0.15,936,3.3000000000000003,42.0543,3.1,120,33.0093
