Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1230078,-,-,-,5.01,-74.46,-5,930,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Asymmetry,Alpha,Clearsky DHI,Aerosol Optical Depth,Clearsky DNI,Cloud Type,DNI,Cloud Fill Flag,DHI,Clearsky GHI,Dew Point,Fill Flag,GHI,Ozone,SSA,Solar Zenith Angle,Relative Humidity,Surface Albedo,Pressure,Precipitable Water,Global Horizontal UV Irradiance (280-400nm),Wind Speed,Wind Direction,Global Horizontal UV Irradiance (295-385nm)
2020,1,1,0,30,23.200000000000003,0.63,1.17,0,0.066,0,7,0,0,0,0,19.8,0,0,0.232,0.92,160.67000000000002,81.04,0.15,937,5.300000000000001,0.0000,0.6000000000000001,8,0.0000
2020,1,1,1,30,22.900000000000002,0.63,1.16,0,0.069,0,7,0,0,0,0,19.5,0,0,0.232,0.92,151.97,81.36,0.15,937,5.300000000000001,0.0000,0.6000000000000001,5,0.0000
2020,1,1,2,30,22.700000000000003,0.63,1.16,0,0.069,0,7,0,0,0,0,19.3,0,0,0.233,0.92,139.82,80.98,0.15,936,5.2,0.0000,0.6000000000000001,7,0.0000
2020,1,1,3,30,22.5,0.63,1.16,0,0.066,0,7,0,0,0,0,18.900000000000002,0,0,0.233,0.91,126.56,80.36,0.15,936,5.1000000000000005,0.0000,0.6000000000000001,18,0.0000
2020,1,1,4,30,22.3,0.63,1.16,0,0.067,0,7,0,0,0,0,18.7,0,0,0.234,0.91,112.9,80.13,0.15,937,5,0.0000,0.6000000000000001,34,0.0000
2020,1,1,5,30,22.400000000000002,0.63,1.17,0,0.068,0,7,0,0,0,0,18.400000000000002,0,0,0.233,0.92,99.11,78.16,0.15,937,4.9,0.0000,0.6000000000000001,48,0.0000
2020,1,1,6,30,23.3,0.63,1.17,29,0.07,273,0,273,0,29,52,18.6,0,52,0.233,0.91,85.2,75.02,0.15,938,4.9,0.0000,0.9,52,0.0000
2020,1,1,7,30,24.900000000000002,0.63,1.1500000000000001,65,0.07100000000000001,656,0,656,0,65,270,19.1,0,270,0.234,0.92,71.75,70.27,0.15,938,4.9,13.6031,1.2000000000000002,38,10.5093
2020,1,1,8,30,26.700000000000003,0.63,1.12,85,0.075,802,0,676,0,113,502,19.3,0,465,0.234,0.92,58.63,63.730000000000004,0.15,939,4.9,25.8362,1.4000000000000001,13,20.1937
2020,1,1,9,30,28.200000000000003,0.63,1.1,105,0.079,860,0,653,0,159,699,19.200000000000003,0,610,0.233,0.93,46.33,58.050000000000004,0.15,939,4.9,35.6800,1.5,171,28.0061
