Title:,"Time Series, Area-Averaged of Incident shortwave radiation land, time average hourly 0.5 x 0.625 deg. [MERRA-2 (hourly)"
User Start Date:,2015-12-31T00:00:00Z
User End Date:,2025-01-01T23:59:59Z
User Bounding Box:,"-75.76,5.33,-75.66,5.43"
Data Bounding Box:,"-75.625,5.5,-75.625,5.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2015-12-31T00:00:00Z&endtime=2025-01-01T23:59:59Z&bbox=-75.76,5.33,-75.66,5.43&data=M2T1NXLFO_5_12_4_SWGDN&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXLFO_5_12_4_SWGDN):, 1000000000000000

time, mean_M2T1NXLFO_5_12_4_SWGDN
2016-01-06 02:30:00,0
2016-01-06 03:30:00,0
2016-01-06 04:30:00,0
2016-01-06 05:30:00,0
2016-01-06 06:30:00,0
2016-01-06 07:30:00,0
2016-01-06 08:30:00,0
2016-01-06 09:30:00,0
2016-01-06 10:30:00,0
2016-01-06 11:30:00,12.205986
2016-01-06 12:30:00,70.8845673
2016-01-06 13:30:00,151.964645
2016-01-06 14:30:00,239.796188
2016-01-06 15:30:00,291.631317
2016-01-06 16:30:00,325.698914
2016-01-06 17:30:00,344.784637
2016-01-06 18:30:00,299.443268
2016-01-06 19:30:00,250.147446
2016-01-06 20:30:00,181.502182
2016-01-06 21:30:00,74.9904938
2016-01-06 22:30:00,15.1355286
2016-01-06 23:30:00,0
2016-01-07 00:30:00,0
2016-01-07 01:30:00,0
2016-01-07 02:30:00,0
2016-01-07 03:30:00,0
2016-01-07 04:30:00,0
2016-01-07 05:30:00,0
2016-01-07 06:30:00,0
2016-01-07 07:30:00,0
2016-01-07 08:30:00,0
2016-01-07 09:30:00,0
2016-01-07 10:30:00,0
2016-01-07 11:30:00,42.8934898
2016-01-07 12:30:00,231.742691
2016-01-07 13:30:00,443.804535
2016-01-07 14:30:00,637.713745
2016-01-07 15:30:00,807.882263
2016-01-07 16:30:00,906.797913
2016-01-07 17:30:00,889.705933
2016-01-07 18:30:00,780.704407
2016-01-07 19:30:00,612.547668
2016-01-07 20:30:00,413.294434
2016-01-07 21:30:00,203.256622
2016-01-07 22:30:00,34.0227051
2016-01-07 23:30:00,0
2016-01-08 00:30:00,0
2016-01-08 01:30:00,0
2016-01-08 02:30:00,0
2016-01-08 03:30:00,0
2016-01-08 04:30:00,0
2016-01-08 05:30:00,0
2016-01-08 06:30:00,0
2016-01-08 07:30:00,0
2016-01-08 08:30:00,0
2016-01-08 09:30:00,0
2016-01-08 10:30:00,0
2016-01-08 11:30:00,38.59235
2016-01-08 12:30:00,124.615646
2016-01-08 13:30:00,194.510773
2016-01-08 14:30:00,294.16983
2016-01-08 15:30:00,432.440704
2016-01-08 16:30:00,561.897156
2016-01-08 17:30:00,595.777771
2016-01-08 18:30:00,585.278687
2016-01-08 19:30:00,437.894714
2016-01-08 20:30:00,287.142853
2016-01-08 21:30:00,134.575409
2016-01-08 22:30:00,26.9175625
2016-01-08 23:30:00,0
2016-01-09 00:30:00,0
2016-01-09 01:30:00,0
2016-01-09 02:30:00,0
2016-01-09 03:30:00,0
2016-01-09 04:30:00,0
2016-01-09 05:30:00,0
2016-01-09 06:30:00,0
2016-01-09 07:30:00,0
2016-01-09 08:30:00,0
2016-01-09 09:30:00,0
2016-01-09 10:30:00,0
2016-01-09 11:30:00,41.1927681
2016-01-09 12:30:00,218.130753
2016-01-09 13:30:00,484.676483
2016-01-09 14:30:00,728.436523
2016-01-09 15:30:00,882.584473
2016-01-09 16:30:00,959.026428
2016-01-09 17:30:00,940.525391
2016-01-09 18:30:00,820.906799
2016-01-09 19:30:00,643.947449
2016-01-09 20:30:00,493.480011
2016-01-09 21:30:00,217.100906
2016-01-09 22:30:00,45.8761749
2016-01-09 23:30:00,0
2016-01-10 00:30:00,0
2016-01-10 01:30:00,0
2016-01-10 02:30:00,0
2016-01-10 03:30:00,0
2016-01-10 04:30:00,0
2016-01-10 05:30:00,0
2016-01-10 06:30:00,0
2016-01-10 07:30:00,0
2016-01-10 08:30:00,0
2016-01-10 09:30:00,0
2016-01-10 10:30:00,0
2016-01-10 11:30:00,25.1458969
2016-01-10 12:30:00,111.936501
2016-01-10 13:30:00,183.003082
2016-01-10 14:30:00,281.555145
2016-01-10 15:30:00,317.807892
2016-01-10 16:30:00,335.0755
2016-01-10 17:30:00,321.314545
2016-01-10 18:30:00,281.871246
2016-01-10 19:30:00,218.150864
2016-01-10 20:30:00,144.937531
2016-01-10 21:30:00,81.1376495
2016-01-10 22:30:00,20.6099052
2016-01-10 23:30:00,0
2016-01-11 00:30:00,0
2016-01-11 01:30:00,0
2016-01-11 02:30:00,0
2016-01-11 03:30:00,0
2016-01-11 04:30:00,0
2016-01-11 05:30:00,0
2016-01-11 06:30:00,0
2016-01-11 07:30:00,0
2016-01-11 08:30:00,0
2016-01-11 09:30:00,0
2016-01-11 10:30:00,0
2016-01-11 11:30:00,31.705368
2016-01-11 12:30:00,191.541107
2016-01-11 13:30:00,408.685608
2016-01-11 14:30:00,629.590515
2016-01-11 15:30:00,779.029297
2016-01-11 16:30:00,842.614075
2016-01-11 17:30:00,778.848389
2016-01-11 18:30:00,643.470337
2016-01-11 19:30:00,479.621002
2016-01-11 20:30:00,350.589203
2016-01-11 21:30:00,187.835938
2016-01-11 22:30:00,42.3979683
2016-01-11 23:30:00,0
2016-01-12 00:30:00,0
2016-01-12 01:30:00,0
2016-01-12 02:30:00,0
2016-01-12 03:30:00,0
2016-01-12 04:30:00,0
2016-01-12 05:30:00,0
2016-01-12 06:30:00,0
2016-01-12 07:30:00,0
2016-01-12 08:30:00,0
2016-01-12 09:30:00,0
2016-01-12 10:30:00,0
2016-01-12 11:30:00,16.3169594
2016-01-12 12:30:00,97.5225677
2016-01-12 13:30:00,229.747467
2016-01-12 14:30:00,392.121735
2016-01-12 15:30:00,509.959045
2016-01-12 16:30:00,622.249329
2016-01-12 17:30:00,624.306519
2016-01-12 18:30:00,573.622742
2016-01-12 19:30:00,420.376312
2016-01-12 20:30:00,290.367706
