system:index,fecha,precip_mm,.geo
20160314,2016-03-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160315,2016-03-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160316,2016-03-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160317,2016-03-17,20.040433883666992,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160318,2016-03-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160319,2016-03-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160320,2016-03-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160321,2016-03-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160322,2016-03-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160323,2016-03-23,11.608146667480469,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160324,2016-03-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160325,2016-03-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160326,2016-03-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160327,2016-03-27,8.540694236755371,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160328,2016-03-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160329,2016-03-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160330,2016-03-30,8.540694236755371,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160331,2016-03-31,8.540694236755371,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160401,2016-04-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160402,2016-04-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160403,2016-04-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160404,2016-04-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160405,2016-04-05,20.9246768951416,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160406,2016-04-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160407,2016-04-07,14.833067893981934,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160408,2016-04-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160409,2016-04-09,22.249601364135742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160410,2016-04-10,7.416533946990967,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160411,2016-04-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160412,2016-04-12,27.50249671936035,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160413,2016-04-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160414,2016-04-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160415,2016-04-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160416,2016-04-16,16.191055297851562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160417,2016-04-17,16.191055297851562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160418,2016-04-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160419,2016-04-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160420,2016-04-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160421,2016-04-21,5.177708148956299,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160422,2016-04-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160423,2016-04-23,10.355416297912598,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160424,2016-04-24,20.710832595825195,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160425,2016-04-25,5.177708148956299,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160426,2016-04-26,12.939979553222656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160427,2016-04-27,6.469989776611328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160428,2016-04-28,12.939979553222656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160429,2016-04-29,12.939979553222656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160430,2016-04-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160501,2016-05-01,5.75324010848999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160502,2016-05-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160503,2016-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160504,2016-05-04,23.01296043395996,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160505,2016-05-05,5.75324010848999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160506,2016-05-06,23.269529342651367,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160507,2016-05-07,17.452146530151367,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160508,2016-05-08,5.817382335662842,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160509,2016-05-09,5.817382335662842,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160510,2016-05-10,23.269529342651367,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160511,2016-05-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160512,2016-05-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160513,2016-05-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160514,2016-05-14,9.987317085266113,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160515,2016-05-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160516,2016-05-16,3.156822443008423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160517,2016-05-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160518,2016-05-18,9.470467567443848,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160519,2016-05-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160520,2016-05-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160521,2016-05-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160522,2016-05-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160523,2016-05-23,14.798864364624023,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160524,2016-05-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160525,2016-05-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160526,2016-05-26,12.552436828613281,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160527,2016-05-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160528,2016-05-28,8.368291854858398,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160529,2016-05-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160530,2016-05-30,8.368291854858398,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160531,2016-05-31,12.552436828613281,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160601,2016-06-01,5.388643741607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160602,2016-06-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160603,2016-06-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160604,2016-06-04,5.388643741607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160605,2016-06-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
