Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1230078,-,-,-,5.01,-74.46,-5,930,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Asymmetry,Alpha,Clearsky DHI,Aerosol Optical Depth,Clearsky DNI,Cloud Type,DNI,Cloud Fill Flag,DHI,Clearsky GHI,Dew Point,Fill Flag,GHI,Ozone,SSA,Solar Zenith Angle,Relative Humidity,Surface Albedo,Pressure,Precipitable Water,Global Horizontal UV Irradiance (280-400nm),Wind Speed,Wind Direction,Global Horizontal UV Irradiance (295-385nm)
2022,1,1,0,30,23.6,0.63,1.19,0,0.268,0,4,0,0,0,0,19.200000000000003,0,0,0.233,0.97,160.72,76.37,0.15,936,5.300000000000001,0.0000,0.4,76,0.0000
2022,1,1,1,30,23.3,0.63,1.18,0,0.28700000000000003,0,7,0,0,0,0,18.900000000000002,0,0,0.232,0.97,152.04,76.24,0.15,935,5.300000000000001,0.0000,0.5,85,0.0000
2022,1,1,2,30,23.1,0.63,1.19,0,0.293,0,6,0,0,0,0,18.900000000000002,0,0,0.232,0.97,139.88,77.09,0.15,935,5.300000000000001,0.0000,0.6000000000000001,95,0.0000
2022,1,1,3,30,22.900000000000002,0.63,1.2,0,0.257,0,7,0,0,0,0,18.7,0,0,0.233,0.97,126.62,77.32000000000001,0.15,935,5.2,0.0000,0.7000000000000001,98,0.0000
2022,1,1,4,30,22.900000000000002,0.63,1.22,0,0.28,0,7,0,0,0,0,18.5,0,0,0.233,0.97,112.95,76.07000000000001,0.15,935,5.2,0.0000,0.7000000000000001,95,0.0000
2022,1,1,5,30,23.1,0.63,1.23,0,0.294,0,7,0,0,0,0,18.1,0,0,0.232,0.97,99.15,73.33,0.15,936,5.1000000000000005,0.0000,0.8,93,0.0000
2022,1,1,6,30,24,0.63,1.22,35,0.271,93,8,0,7,12,43,18.400000000000002,100,12,0.232,0.97,85.25,70.79,0.15,937,5.2,0.0000,1,94,0.0000
2022,1,1,7,30,25.700000000000003,0.63,1.19,118,0.302,403,8,17,2,113,244,18.400000000000002,25,118,0.232,0.97,71.79,63.89,0.15,938,5.2,5.9428,1.2000000000000002,96,4.5910
2022,1,1,8,30,27.200000000000003,0.63,1.16,164,0.325,584,8,389,0,229,468,18,33,431,0.232,0.97,58.660000000000004,57.370000000000005,0.15,938,5.2,23.9432,0.9,106,18.7138
2022,1,1,9,30,28.1,0.63,1.18,172,0.29,725,0,541,0,248,672,17.6,0,621,0.232,0.97,46.35,53.03,0.15,939,5.1000000000000005,36.3212,0.5,122,28.5092
