Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1230078,-,-,-,5.01,-74.46,-5,930,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Asymmetry,Alpha,Clearsky DHI,Aerosol Optical Depth,Clearsky DNI,Cloud Type,DNI,Cloud Fill Flag,DHI,Clearsky GHI,Dew Point,Fill Flag,GHI,Ozone,SSA,Solar Zenith Angle,Relative Humidity,Surface Albedo,Pressure,Precipitable Water,Global Horizontal UV Irradiance (280-400nm),Wind Speed,Wind Direction,Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,30,20.700000000000003,0.63,1.25,0,0.049,0,8,0,0,0,0,17.1,0,0,0.224,0.91,160.73,79.87,0.15,938,4.9,0.0000,0.6000000000000001,27,0.0000
2018,1,1,1,30,20.6,0.63,1.27,0,0.05,0,4,0,0,0,0,16.900000000000002,0,0,0.224,0.91,152.04,79.3,0.15,938,4.9,0.0000,0.7000000000000001,29,0.0000
2018,1,1,2,30,20.6,0.63,1.27,0,0.051000000000000004,0,4,0,0,0,0,16.8,0,0,0.224,0.91,139.89000000000001,78.67,0.15,938,5,0.0000,0.7000000000000001,23,0.0000
2018,1,1,3,30,20.700000000000003,0.63,1.27,0,0.051000000000000004,0,3,0,0,0,0,16.8,0,0,0.225,0.91,126.62,78.59,0.15,938,5,0.0000,0.7000000000000001,16,0.0000
2018,1,1,4,30,20.8,0.63,1.27,0,0.055,0,4,0,0,0,0,16.900000000000002,0,0,0.225,0.92,112.96000000000001,78.51,0.15,938,5,0.0000,0.5,16,0.0000
2018,1,1,5,30,21,0.63,1.26,0,0.057,0,3,0,0,0,0,16.900000000000002,0,0,0.225,0.92,99.16,77.34,0.15,939,5,0.0000,0.30000000000000004,38,0.0000
2018,1,1,6,30,21.8,0.63,1.27,28,0.058,298,0,298,0,28,53,17.1,0,53,0.224,0.92,85.25,74.75,0.15,940,5,0.0000,0.4,60,0.0000
2018,1,1,7,30,23.1,0.63,1.28,59,0.057,680,0,680,0,59,272,17.6,0,272,0.225,0.92,71.79,71.11,0.15,940,4.9,13.6988,0.7000000000000001,56,10.5826
2018,1,1,8,30,24.6,0.63,1.29,76,0.059000000000000004,824,0,824,0,76,505,17.6,0,505,0.225,0.92,58.660000000000004,65.08,0.15,940,4.9,28.0541,0.9,41,21.9268
2018,1,1,9,30,26,0.63,1.3,88,0.06,895,0,895,0,88,706,17.900000000000002,0,706,0.225,0.92,46.35,60.980000000000004,0.15,940,4.9,41.2927,1,19,32.4114
