"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2019-03-26 03:40:18","5.378","-74.669","20.68","0.9","MLr_2","15","0.5","136","1.273","1.273","1.80","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-03-29 14:13:07","5.165","-74.656","30.89","0.8","MLr_2","9","0.1","181","0.566","0.566","0.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-03-31 18:58:34","5.123","-74.669","29.37","1.1","MLr_2","12","0.4","180","2.546","2.546","3.90","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-04-30 21:55:26","5.324","-74.678","12.61","1.8","MLr_2","25","0.6","60","0.990","0.990","1.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-05-06 05:42:19","5.128","-74.697","29.75","1.0","MLr_2","11","0.5","117","2.192","2.192","3.80","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-05-10 02:59:51","5.197","-74.614","12.68","0.9","MLr_2","8","0.5","225","3.960","3.960","10.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-05-10 07:38:01","5.208","-74.7","10.29","0.7","MLr_2","10","0.4","177","3.041","3.041","6.90","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-05-19 03:45:13","5.378","-74.636","28.21","1.0","MLr_2","11","0.3","141","0.849","0.849","1.10","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-05-21 14:51:26","5.059","-74.705","16.46","1.0","MLr_2","24","0.7","86","1.131","1.131","2.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-05-25 05:27:39","5.389","-74.642","23.78","1.1","MLr_2","9","0.5","269","5.374","5.374","6.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-05-26 09:46:30","5.045","-74.719","18.16","1.1","MLr_2","16","0.7","107","1.344","1.344","2.40","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-05-30 07:40:48","5.03","-74.71","3.88","0.8","MLr_2","10","0.6","132","1.980","1.980","5.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-05-31 06:24:51","5.153","-74.72","17.47","0.9","MLr_2","12","0.4","176","2.333","2.333","2.90","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-06-11 03:15:24","5.048","-74.727","17.82","1.2","MLr_2","20","0.6","70","1.131","1.131","2.30","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-06-11 03:41:20","5.053","-74.692","13.56","1.0","MLr_2","15","0.4","110","0.990","0.990","2.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-06-20 13:43:32","5.004","-74.654","13.1","1.2","MLr_2","16","0.6","183","2.051","2.051","3.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-06-30 00:01:08","5.03","-74.56","14.91","1.2","MLr_2","19","0.4","156","0.778","0.778","1.40","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-07-10 01:27:41","5.033","-74.713","15.47","0.7","MLr_2","14","0.6","106","1.768","1.768","4.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-07-13 00:36:40","5.092","-74.659","7.58","1.0","MLr_2","20","0.8","181","2.121","2.121","4.50","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-07-20 00:35:22","5.041","-74.721","19.05","1.1","MLr_2","20","0.5","106","0.849","0.849","1.40","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-07-26 17:43:12","5.229","-74.67","-0.01","1.0","MLr_2","16","0.8","170","1.556","1.556","3.50","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-07-26 18:00:17","5.259","-74.607","9.54","1.3","MLr_2","22","0.9","74","2.616","2.616","6.50","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-09-01 16:16:58","5.047","-74.711","3.96","1.4","MLr_2","17","0.4","134","0.778","0.778","2.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-09-07 20:09:51","5.336","-74.615","29.58","1.0","MLr_2","10","0.6","238","7.707","7.707","8.50","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-09-19 21:30:16","5.125","-74.606","21.25","1.0","MLr_2","10","0.5","202","3.889","3.889","4.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-09-26 13:14:06","5.077","-74.675","19.83","1.2","MLr_2","12","0.4","180","2.404","2.404","3.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-09-28 23:24:45","5.023","-74.731","3.34","0.8","MLr_2","9","0.3","201","1.273","1.273","2.50","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-10-01 23:08:55","5.261","-74.709","5.92","0.9","MLr_2","10","0.4","215","2.263","2.263","8.30","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-10-03 18:15:47","5.004","-74.626","8.41","1.4","MLr_2","18","0.4","131","0.919","0.919","3.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-10-20 08:41:41","5.162","-74.718","3.52","1.4","MLr_2","25","0.9","63","1.344","1.344","3.50","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-11-03 10:51:34","5.216","-74.679","15.23","1.2","MLr_2","22","0.6","67","1.061","1.061","2.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-11-04 15:41:55","5.143","-74.607","10.65","1.0","MLr_2","8","0.1","291","0.849","0.849","1.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-11-22 21:32:00","5.201","-74.679","-0.08","1.0","MLr_2","10","0.5","216","2.687","2.687","5.10","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-11-25 13:25:07","5.15","-74.517","3.57","2.3","MLr_2","58","1.1","43","1.061","1.061","2.50","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-11-28 23:14:08","5.239","-74.676","30.07","0.7","MLr_2","9","0.4","251","3.536","3.536","4.80","Guaduas - Cundinamarca, Colombia","","","","manual"
"2019-12-04 16:13:07","5.317","-74.711","18.67","1.7","MLr_2","32","0.7","55","1.061","1.061","1.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-01-10 04:24:16","5.415","-74.63","30.53","1.2","MLr_2","8","0.1","195","3.748","3.748","10.40","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-01-11 10:19:29","5.311","-74.673","5.89","1.7","MLr_2","18","0.5","116","1.061","1.061","6.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-01-13 02:47:48","5.188","-74.711","8.52","1.1","MLr_2","18","0.7","67","1.344","1.344","3.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-01-24 11:04:12","5.048","-74.675","11.57","1.7","MLr_2","30","0.8","67","1.273","1.273","3.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-02-06 05:00:21","5.01","-74.718","15.89","1.0","MLr_2","14","0.9","110","2.404","2.404","3.80","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-02-08 06:20:22","5.035","-74.679","8.57","1.1","MLr_2","11","0.3","144","1.344","1.344","3.30","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-02-10 01:10:40","5.232","-74.729","0","0.7","MLr_2","19","1.0","109","1.838","1.838","4.30","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-02-27 02:10:35","5.081","-74.568","15.07","1.0","MLr_2","14","0.7","189","3.111","3.111","4.90","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-02-27 03:39:19","5.187","-74.523","24.1","1.1","MLr_2","12","0.5","150","1.485","1.485","1.90","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-02-27 06:29:17","5.113","-74.637","4.91","1.9","MLr_2","54","0.8","69","0.849","0.849","2.10","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-02-29 03:41:37","5.043","-74.656","3.93","1.1","MLr_2","24","0.8","69","1.344","1.344","3.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-03-12 03:23:25","5.054","-74.629","22.45","0.9","MLr_2","11","0.2","148","1.131","1.131","2.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-03-19 00:11:48","5.017","-74.717","12","1.0","MLr_2","9","0.4","221","0.990","0.990","9.90","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-04-03 00:02:26","5.266","-74.647","3.52","1.3","MLr_2","22","0.6","121","1.131","1.131","2.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-04-03 00:53:34","5.282","-74.651","3.44","1.0","MLr_2","13","0.4","180","1.344","1.344","2.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-04-08 00:15:56","5.114","-74.672","14.41","1.1","MLr_2","9","0.5","213","3.606","3.606","7.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-04-08 14:43:47","5.127","-74.607","17.72","1.5","MLr_2","28","0.8","74","1.202","1.202","2.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-04-09 00:41:12","5.192","-74.553","3.78","1.1","MLr_2","16","0.5","187","1.556","1.556","3.10","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-04-11 14:07:53","5.11","-74.633","13.45","1.4","MLr_2","34","0.8","55","0.990","0.990","1.90","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-04-13 02:07:16","5.209","-74.63","4.96","1.5","MLr_2","30","0.5","59","0.707","0.707","6.80","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-04-14 14:40:53","5.24","-74.68","6.82","2.1","MLr_2","48","0.9","55","0.919","0.919","2.30","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-04-21 06:31:53","5.235","-74.65","22.07","2.1","MLr_2","21","0.9","57","2.228","1.921","5.09","Guaduas - Cundinamarca, Colombia","","","","manual"
