"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2020-01-31 16:29:54","5.08","-74.767","31.23","0.6","MLr_2","8","0.4","141","2.546","2.546","4.60","Honda - Tolima, Colombia","","","","manual"
"2020-02-06 19:36:11","5.097","-74.805","18.03","1.5","MLr_2","16","0.4","100","0.990","0.990","1.40","Honda - Tolima, Colombia","","","","manual"
"2020-02-25 05:33:28","5.219","-74.761","5.5","2.4","MLr_2","76","0.7","42","0.636","0.636","1.60","Honda - Tolima, Colombia","","","","manual"
"2020-02-25 07:10:45","5.259","-74.756","13.29","1.1","MLr_2","20","0.7","78","1.344","1.344","2.60","Honda - Tolima, Colombia","","","","manual"
"2020-03-28 23:59:18","5.118","-74.726","12.08","0.9","MLr_2","20","0.5","99","0.849","0.849","2.90","Honda - Tolima, Colombia","","","","manual"
"2020-04-05 02:49:00","5.164","-74.74","27.87","0.8","MLr_2","10","0.5","166","4.879","4.879","7.10","Honda - Tolima, Colombia","","","","manual"
"2020-04-06 18:27:38","5.189","-74.782","9.52","0.9","MLr_2","10","0.5","170","3.253","3.253","8.90","Honda - Tolima, Colombia","","","","manual"
"2020-04-11 05:58:55","5.194","-74.802","8.3","0.9","MLr_2","15","0.3","125","0.990","0.990","3.10","Honda - Tolima, Colombia","","","","manual"
"2020-04-14 06:09:53","5.162","-74.783","3.98","2.3","MLr_2","56","0.8","48","0.849","0.849","1.90","Honda - Tolima, Colombia","","","","manual"
"2020-04-14 06:54:37","5.271","-74.78","14.11","1.4","MLr_2","20","0.7","79","1.273","1.273","2.80","Honda - Tolima, Colombia","","","","manual"
"2020-04-14 07:03:10","5.146","-74.774","3.53","2.0","MLr_2","47","0.8","73","0.919","0.919","2.00","Honda - Tolima, Colombia","","","","manual"
"2020-05-05 05:13:30","5.161","-74.807","0","0.7","MLr_2","8","0.5","226","2.899","2.899","3.70","Honda - Tolima, Colombia","","","","manual"
"2020-05-19 16:13:55","5.272","-74.78","24.36","1.2","MLr_2","16","0.6","170","1.697","1.697","2.60","Honda - Tolima, Colombia","","","","manual"
"2020-05-22 02:45:28","5.109","-74.747","3.93","0.8","MLr_2","10","0.7","201","2.687","2.687","5.30","Honda - Tolima, Colombia","","","","manual"
"2020-05-27 09:20:07","5.161","-74.732","30.77","0.8","MLr_2","13","0.4","74","1.344","1.344","2.00","Honda - Tolima, Colombia","","","","manual"
"2020-06-19 03:37:43","5.173","-74.778","12.81","1.4","MLr_2","25","0.8","62","1.202","1.202","2.30","Honda - Tolima, Colombia","","","","manual"
"2020-08-06 16:36:00","5.166","-74.777","4.62","1.7","MLr_2","31","0.9","50","1.131","1.131","7.50","Honda - Tolima, Colombia","","","","manual"
"2020-10-21 06:36:36","5.18","-74.826","63.39","1.2","MLr_2","14","0.7","109","3.182","3.182","8.20","Honda - Tolima, Colombia","","","","manual"
"2020-11-08 09:43:54","5.152","-74.773","25.12","0.9","MLr_2","10","0.8","111","4.031","2.706","9.19","Honda - Tolima, Colombia","","","","manual"
"2020-11-10 03:19:03","5.298","-74.818","23.1","0.9","MLr_2","12","0.6","166","3.960","3.960","3.30","Honda - Tolima, Colombia","","","","manual"
"2020-11-14 16:44:22","5.125","-74.78","19.02","0.9","MLr_2","6","0.9","133","4.523","4.326","11.67","Honda - Tolima, Colombia","","","","manual"
"2020-12-15 12:04:16","5.134","-74.795","6.01","1.6","MLr_2","31","0.7","49","0.990","0.990","5.20","Honda - Tolima, Colombia","","","","manual"
"2020-12-27 17:56:07","5.122","-74.749","20.77","1.3","MLr_2","13","0.6","174","2.970","2.970","5.30","Honda - Tolima, Colombia","","","","manual"
"2020-12-30 04:16:45","5.106","-74.724","22.3","2.0","MLr_2","21","1.0","52","2.800","2.491","5.94","Honda - Tolima, Colombia","","","","manual"
"2020-12-31 09:39:33","5.106","-74.75","25.12","1.2","MLr_2","12","1.0","63","3.336","3.102","8.65","Honda - Tolima, Colombia","","","","manual"
"2021-01-29 23:21:50","5.281","-74.803","18.98","1.5","MLr_2","19","0.9","57","2.192","2.192","4.20","Honda - Tolima, Colombia","","","","manual"
"2021-02-04 18:05:16","5.147","-74.808","3.88","0.9","MLr_2","8","0.2","204","0.919","0.919","1.70","Honda - Tolima, Colombia","","","","manual"
"2021-05-14 07:58:20","5.121","-74.822","20.2","1.2","MLr_2","7","0.7","108","2.862","3.180","8.37","Honda - Tolima, Colombia","","","","manual"
"2021-05-21 06:50:07","5.055","-74.741","13.02","0.9","MLr_2","12","0.2","106","0.424","0.424","1.20","Honda - Tolima, Colombia","","","","manual"
"2021-07-03 04:55:43","5.214","-74.799","24.88","1.4","MLr_2","11","1.1","71","2.646","2.662","6.72","Honda - Tolima, Colombia","","","","manual"
"2021-07-19 09:41:38","5.148","-74.869","16.91","1.4","MLr_2","11","0.9","131","2.982","4.481","6.80","Honda - Tolima, Colombia","","","","manual"
"2021-07-29 10:23:44","5.127","-74.76","9.97","1.4","MLr_2","13","0.5","173","2.546","2.546","3.40","Honda - Tolima, Colombia","","","","manual"
"2021-08-05 06:04:34","5.241","-74.796","10.99","0.6","MLr_2","10","0.5","196","2.970","2.970","7.40","Honda - Tolima, Colombia","","","","manual"
"2021-08-18 12:33:54","5.102","-74.846","21.6","1.2","MLr_2","6","0.8","185","3.836","10.026","10.68","Honda - Tolima, Colombia","","","","manual"
"2021-09-15 11:44:53","5.154","-74.797","19.96","1.4","MLr_2","15","1.2","50","2.588","2.823","7.01","Honda - Tolima, Colombia","","","","manual"
"2021-10-14 11:22:32","5.112","-74.78","24.88","1.3","MLr_2","13","1.0","52","3.145","2.897","7.40","Honda - Tolima, Colombia","","","","manual"
"2021-11-01 07:48:06","5.207","-74.805","18.79","1.2","MLr_2","9","0.9","168","2.974","4.373","7.80","Honda - Tolima, Colombia","","","","manual"
"2021-11-14 17:56:54","5.295","-74.779","32.01","1.2","MLr_2","11","0.4","141","3.182","3.182","10.00","Honda - Tolima, Colombia","","","","manual"
"2021-11-16 05:41:49","5.089","-74.741","60.98","1.2","M_MLr","8","1.1","83","4.494","4.221","9.39","Honda - Tolima, Colombia","","","","manual"
"2022-01-01 07:04:08","5.273","-74.782","6.48","1.0","MLr_2","8","0.3","201","1.980","1.980","4.10","Honda - Tolima, Colombia","","","","manual"
"2022-01-04 05:19:29","5.28","-74.79","38.36","1.1","MLr_2","6","1.1","107","3.842","6.014","8.80","Honda - Tolima, Colombia","","","","manual"
"2022-01-30 05:16:49","5.11","-74.837","15.98","1.3","MLr_2","11","1.1","59","2.914","3.526","8.32","Honda - Tolima, Colombia","","","","manual"
"2022-02-13 05:16:21","5.138","-74.762","35.14","2.0","MLr_2","30","1.1","37","2.138","1.949","4.10","Honda - Tolima, Colombia","","","","manual"
"2022-02-16 06:25:02","5.143","-74.777","50.69","1.2","MLr_2","12","0.2","90","0.707","0.707","4.30","Honda - Tolima, Colombia","","","","manual"
"2022-02-27 06:56:36","5.169","-74.75","19.02","1.2","MLr_2","11","1.0","157","3.015","3.999","7.28","Honda - Tolima, Colombia","","","","manual"
"2022-02-28 08:02:22","5.172","-74.787","32.97","1.4","MLr_2","17","1.3","53","3.007","2.388","6.57","Honda - Tolima, Colombia","","","","manual"
"2022-06-11 11:43:11","5.305","-74.842","15.98","1.2","MLr_2","6","0.8","188","3.502","7.612","8.93","Honda - Tolima, Colombia","","","","manual"
"2022-06-20 07:27:24","5.19","-74.758","20.66","0.9","MLr_2","7","0.8","116","3.134","2.821","8.72","Honda - Tolima, Colombia","","","","manual"
"2022-07-01 03:31:01","5.138","-74.772","3","0.8","MLr_2","7","0.4","197","1.556","1.556","2.50","Honda - Tolima, Colombia","","","","manual"
"2022-07-03 01:00:21","5.148","-74.739","28.16","1.6","MLr_2","17","1.0","52","2.967","2.123","6.23","Honda - Tolima, Colombia","","","","manual"
"2022-07-07 17:43:35","5.275","-74.733","10.12","1.2","MLr_2","9","0.8","148","3.867","3.454","9.24","Honda - Tolima, Colombia","","","","manual"
"2022-07-16 02:37:34","5.135","-74.799","19.02","0.9","MLr_2","7","0.9","193","3.506","5.734","8.87","Honda - Tolima, Colombia","","","","manual"
"2022-07-16 05:49:09","5.169","-74.828","17.22","0.8","MLr_2","10","0.5","188","2.121","2.121","2.40","Honda - Tolima, Colombia","","","","manual"
"2022-07-30 05:34:25","5.175","-74.785","13.98","1.1","MLr_2","10","0.9","196","3.905","5.542","8.46","Honda - Tolima, Colombia","","","","manual"
"2022-08-24 04:32:49","5.146","-74.778","24.88","1.1","MLr_2","14","1.0","62","2.966","2.604","7.93","Honda - Tolima, Colombia","","","","manual"
"2022-08-30 18:39:24","5.129","-74.769","22.07","1.0","MLr_2","9","1.0","103","3.708","3.532","9.47","Honda - Tolima, Colombia","","","","manual"
"2022-09-09 16:55:14","5.306","-74.834","3","0.8","MLr_2","8","0.4","236","1.131","1.131","1.50","Honda - Tolima, Colombia","","","","manual"
"2022-09-18 06:35:00","5.161","-74.803","31.68","1.8","MLr_2","18","1.0","49","2.573","1.958","5.76","Honda - Tolima, Colombia","","","","manual"
"2022-09-28 02:23:32","5.199","-74.825","14.6","0.7","MLr_2","7","0.1","222","1.273","1.273","1.20","Honda - Tolima, Colombia","","","","manual"
"2022-10-07 15:10:54","5.243","-74.771","33.09","1.9","MLr_2","17","1.1","61","3.031","2.182","6.26","Honda - Tolima, Colombia","","","","manual"
"2022-11-13 01:31:30","5.286","-74.763","17.62","1.0","MLr_2","6","0.8","186","3.406","5.151","7.71","Honda - Tolima, Colombia","","","","manual"
"2022-11-14 17:45:18","5.269","-74.763","21.84","1.0","MLr_2","8","0.9","186","3.370","5.037","7.26","Honda - Tolima, Colombia","","","","manual"
"2022-11-17 11:52:07","5.284","-74.771","19.02","1.7","MLr_2","9","0.8","135","2.724","3.664","7.03","Honda - Tolima, Colombia","","","","manual"
"2022-11-25 06:03:33","5.18","-74.82","21.6","1.3","MLr_2","18","1.0","53","2.800","2.242","5.74","Honda - Tolima, Colombia","","","","manual"
"2022-12-21 22:24:48","5.149","-74.87","45.86","1.5","MLr_2","7","1.0","149","8.439","10.653","11.61","Honda - Tolima, Colombia","","","","manual"
"2022-12-27 22:55:46","5.152","-74.745","22.07","1.2","MLr_2","10","1.0","106","3.166","3.454","8.80","Honda - Tolima, Colombia","","","","manual"
"2022-12-31 17:49:16","5.193","-74.763","22.07","0.7","MLr_2","5","0.8","135","4.458","5.522","10.08","Honda - Tolima, Colombia","","","","manual"
"2023-01-05 03:46:01","5.286","-74.806","19.02","1.5","MLr_2","15","0.9","106","2.656","2.387","6.58","Honda - Tolima, Colombia","","","","manual"
"2023-01-12 16:17:38","5.161","-74.758","24.65","1.6","MLr_2","14","1.0","135","2.966","4.615","9.79","Honda - Tolima, Colombia","","","","manual"
"2023-01-26 07:53:17","5.152","-74.81","19.02","1.1","MLr_2","13","0.8","102","2.339","2.249","6.47","Honda - Tolima, Colombia","","","","manual"
"2023-01-28 22:16:38","5.187","-74.721","36.02","2.0","MLr_2","21","1.1","53","2.907","2.393","5.16","Honda - Tolima, Colombia","","","","manual"
"2023-01-29 08:50:06","5.053","-74.754","10.39","0.9","MLr_2","15","0.5","157","1.909","1.909","3.10","Honda - Tolima, Colombia","","","","manual"
"2023-02-02 06:24:19","5.184","-74.769","21.37","1.1","MLr_2","14","1.1","105","4.796","2.638","7.35","Honda - Tolima, Colombia","","","","manual"
"2023-02-07 02:00:20","5.163","-74.81","19.02","1.2","MLr_2","11","1.1","102","3.753","4.240","9.47","Honda - Tolima, Colombia","","","","manual"
"2023-03-01 06:30:43","5.159","-74.735","31.68","1.3","MLr_2","17","1.1","65","2.759","2.203","7.66","Honda - Tolima, Colombia","","","","manual"
"2023-03-08 08:07:40","5.173","-74.844","25.12","1.1","MLr_2","12","1.0","130","2.911","3.754","7.72","Honda - Tolima, Colombia","","","","manual"
"2023-03-09 03:57:03","5.158","-74.772","10.7","1.1","MLr_2","8","0.9","198","5.046","6.787","10.51","Honda - Tolima, Colombia","","","","manual"
"2023-03-09 14:09:33","5.123","-74.854","15.67","1.3","MLr_2","23","1.0","98","2.333","2.333","3.80","Honda - Tolima, Colombia","","","","manual"
"2023-03-14 17:17:48","5.235","-74.747","3.78","1.1","MLr_2","12","0.4","170","1.202","1.202","2.40","Honda - Tolima, Colombia","","","","manual"
"2023-05-02 17:14:38","5.183","-74.772","21.95","1.3","MLr_2","11","1.0","199","4.261","6.292","9.33","Honda - Tolima, Colombia","","","","manual"
"2023-05-07 06:08:52","5.124","-74.823","50.66","1.2","MLr_2","13","0.8","129","2.687","2.687","9.60","Honda - Tolima, Colombia","","","","manual"
"2023-05-22 01:42:32","5.101","-74.748","26.15","1.2","MLr_2","12","0.3","221","1.697","1.697","2.50","Honda - Tolima, Colombia","","","","manual"
"2023-06-28 12:26:16","5.156","-74.747","10","1.0","MLr_2","16","0.3","202","0.990","0.990","2.30","Honda - Tolima, Colombia","","","","manual"
"2023-07-16 17:03:19","5.161","-74.792","15.98","1.1","MLr_2","6","0.9","228","4.383","5.685","7.59","Honda - Tolima, Colombia","","","","manual"
"2023-08-27 04:10:02","5.115","-74.821","30.45","2.0","MLr_2","34","1.0","34","1.873","1.649","3.94","Honda - Tolima, Colombia","","","","manual"
"2023-08-27 22:33:39","5.144","-74.873","43.67","1.1","MLr_2","10","0.1","180","1.556","1.556","2.50","Honda - Tolima, Colombia","","","","manual"
"2023-09-16 07:40:01","5.203","-74.812","22.07","1.3","MLr_2","13","0.9","132","3.897","3.775","5.58","Honda - Tolima, Colombia","","","","manual"
"2023-09-16 22:51:35","5.193","-74.823","3","0.8","MLr_2","8","0.2","245","1.909","1.909","2.30","Honda - Tolima, Colombia","","","","manual"
"2023-09-23 08:13:55","5.267","-74.801","19.02","1.1","MLr_2","11","0.9","133","3.470","3.826","7.44","Honda - Tolima, Colombia","","","","manual"
"2023-09-28 07:34:32","5.138","-74.763","22.07","0.9","MLr_2","11","1.0","132","2.860","3.162","7.25","Honda - Tolima, Colombia","","","","manual"
"2023-10-06 00:04:19","5.289","-74.79","21.95","1.0","MLr_2","9","1.0","107","4.200","3.648","7.87","Honda - Tolima, Colombia","","","","manual"
"2023-10-17 09:39:20","5.191","-74.739","28.57","2.6","MLr_2","48","1.2","42","1.616","1.693","3.19","Honda - Tolima, Colombia","","","","manual"
"2023-10-17 09:56:06","5.188","-74.763","20.2","0.9","MLr_2","9","0.8","188","3.290","4.095","7.06","Honda - Tolima, Colombia","","","","manual"
"2023-11-01 04:35:19","5.152","-74.792","12.93","0.9","MLr_2","10","0.7","148","3.649","3.881","7.21","Honda - Tolima, Colombia","","","","manual"
"2023-11-24 00:18:05","5.193","-74.789","10.47","0.8","MLr_2","10","0.2","252","2.333","2.333","10.40","Honda - Tolima, Colombia","","","","manual"
"2023-12-01 00:29:42","5.159","-74.735","28.4","1.5","MLr_2","24","1.0","58","3.184","2.208","6.14","Honda - Tolima, Colombia","","","","manual"
"2023-12-13 16:47:36","5.303","-74.814","27.23","1.8","MLr_2","30","1.1","38","2.165","2.073","5.27","Honda - Tolima, Colombia","","","","manual"
"2023-12-31 03:03:11","5.132","-74.755","16.8","0.9","MLr_2","7","0.7","282","5.461","6.107","11.92","Honda - Tolima, Colombia","","","","manual"
"2024-01-29 03:09:17","5.246","-74.804","19.23","0.9","MLr_2","7","0.3","263","2.828","2.828","2.00","Honda - Tolima, Colombia","","","","manual"
"2024-02-01 04:48:40","5.226","-74.78","17.15","1.0","MLr_2","8","0.6","135","4.529","3.895","7.91","Honda - Tolima, Colombia","","","","manual"
"2024-02-08 01:55:04","5.153","-74.875","3.67","0.8","MLr_2","6","0.6","237","5.220","5.159","8.21","Honda - Tolima, Colombia","","","","manual"
"2024-02-10 19:09:57","5.204","-74.747","18.2","1.4","MLr_2","15","0.7","128","3.387","2.128","6.95","Honda - Tolima, Colombia","","","","manual"
"2024-02-24 03:40:57","5.095","-74.739","24.88","1.5","MLr_2","18","0.9","123","3.768","2.139","7.05","Honda - Tolima, Colombia","","","","manual"
"2024-03-17 07:05:45","5.168","-74.723","33.96","2.5","MLr_2","45","1.1","45","2.180","1.711","4.25","Honda - Tolima, Colombia","","","","manual"
"2024-04-21 23:34:19","5.154","-74.748","33.55","2.4","MLr_2","37","1.1","52","2.129","1.998","4.81","Honda - Tolima, Colombia","","","","manual"
"2024-05-31 14:13:16","5.204","-74.81","14.83","1.1","MLr_2","7","0.1","247","0.707","0.707","2.30","Honda - Tolima, Colombia","","","","manual"
"2024-06-19 23:09:43","5.285","-74.766","45.68","1.3","MLr_2","13","0.8","136","3.818","3.818","6.20","Honda - Tolima, Colombia","","","","manual"
"2024-06-22 22:05:11","5.311","-74.834","16.21","1.2","MLr_2","8","0.6","165","2.541","5.352","6.39","Honda - Tolima, Colombia","","","","manual"
"2024-06-25 10:32:10","5.161","-74.724","22.07","1.5","MLr_2","16","1.0","66","2.347","2.370","5.95","Honda - Tolima, Colombia","","","","manual"
"2024-07-14 18:35:59","5.059","-74.745","18.55","1.0","MLr_2","10","0.3","175","2.616","2.616","3.10","Honda - Tolima, Colombia","","","","manual"
"2024-08-06 05:06:45","5.133","-74.806","18.88","1.1","MLr_2","17","0.6","91","2.051","2.051","2.60","Honda - Tolima, Colombia","","","","manual"
"2024-08-08 07:51:26","5.11","-74.776","4","0.7","MLr_2","8","0.7","242","6.364","6.364","0.00","Honda - Tolima, Colombia","","","","manual"
"2024-08-17 05:17:20","5.13","-74.803","30.14","1.2","MLr_2","6","0.2","290","4.384","4.384","5.10","Honda - Tolima, Colombia","","","","manual"
"2024-09-09 08:15:12","5.205","-74.813","89.06","1.4","MLr_2","8","0.2","255","2.263","2.263","4.70","Honda - Tolima, Colombia","","","","manual"
"2024-09-23 23:34:47","5.052","-74.759","25.23","1.1","MLr_2","6","0.8","174","4.871","9.615","11.43","Honda - Tolima, Colombia","","","","manual"
"2024-10-08 17:25:52","5.139","-74.838","18.91","1.2","MLr_2","9","0.9","186","7.233","6.157","9.15","Honda - Tolima, Colombia","","","","manual"
"2024-10-25 08:43:38","5.125","-74.775","19.96","1.0","MLr_2","11","1.1","59","3.928","2.924","8.70","Honda - Tolima, Colombia","","","","manual"
"2024-11-14 04:43:15","5.128","-74.768","24.77","1.1","MLr_2","6","0.7","198","7.141","7.062","11.38","Honda - Tolima, Colombia","","","","manual"
"2024-11-20 06:46:44","5.146","-74.792","16.21","0.8","MLr_2","7","0.6","238","4.017","5.632","10.13","Honda - Tolima, Colombia","","","","manual"
"2025-01-14 06:31:39","5.231","-74.786","22.07","1.2","MLr_2","16","0.7","97","3.031","2.512","5.93","Honda - Tolima, Colombia","","","","manual"
"2025-01-23 23:51:16","5.12","-74.83","0","0.9","MLr_2","7","0.2","306","7.212","7.212","9.60","Honda - Tolima, Colombia","","","","manual"
"2025-02-14 12:27:48","5.098","-74.737","3.91","1.4","MLr_2","15","1.1","163","3.889","3.889","5.60","Honda - Tolima, Colombia","","","","manual"
