"CodigoEstacion","CodigoSensor","FechaObservacion","ValorObservado","NombreEstacion","Departamento","Municipio","ZonaHidrografica","Latitud","Longitud","DescripcionSensor","UnidadMedida"
"0023065180","0255","2023 Mar 25 05:00:00 AM","916,7","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 09:00:00 AM","919,1","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 07:00:00 AM","918,3","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 02:00:00 AM","916,9","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 09:00:00 PM","917,1","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 10:00:00 AM","918,8","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 11:00:00 PM","918,3","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 08:00:00 AM","919","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 01:00:00 PM","917,2","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 08:00:00 PM","916,6","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 11:00:00 AM","918,5","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 10:00:00 PM","917,8","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 12:00:00 PM","918,3","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 06:00:00 PM","914,8","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 02:00:00 PM","916","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 03:00:00 PM","914,7","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 12:00:00 AM","917,9","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
"0023065180","0255","2023 Mar 25 07:00:00 PM","915,7","VILLETA - AUT","CUNDINAMARCA","VILLETA","MEDIO MAGDALENA","5,016861111","-74,47097222","Presión Atmosferica (1h)","HPa"
